1,10,0.1,3.79951
1,100,0.06,8.662
1,1000,0.069,9.02562
1,5000,0.0642,4.86429
1,10000,0.0676,4.88039
1,50000,0.06646,4.90779
1,100000,0.0656,4.8413
2,10,0.2,2.30516
2,100,0.07,8.53802
2,1000,0.065,9.77729
2,5000,0.0644,9.61438
2,10000,0.0665,9.60312
2,50000,0.06536,9.64687
2,100000,0.06485,9.56968
4,10,0.2,4.09825
4,100,0.07,10.5871
4,1000,0.063,18.8627
4,5000,0.0624,19.2488
4,10000,0.0665,18.6549
4,50000,0.06442,18.4351
4,100000,0.06586,18.8284
8,10,0.2,2.7846
8,100,0.07,13.4318
8,1000,0.056,34.5811
8,5000,0.0664,36.8603
8,10000,0.0631,33.175
8,50000,0.06484,37.052
8,100000,0.06629,37.0279
