
1,5,0.797159,1.0104
1,10,1.8705,0.382288
1,50,3.87234,0.43235
1,100,4.52206,0.434728
1,500,4.64062,0.435711
1,1000,4.63019,0.435743
1,2000,4.60417,0.435611
1,3000,4.58227,0.435137
2,5,0.232066,1.0104
2,10,0.614149,0.382288
2,50,6.49993,0.43235
2,100,8.31228,0.434728
2,500,8.9866,0.435714
2,1000,8.95563,0.43576
2,2000,9.06981,0.435724
2,3000,8.90422,0.435581
4,5,0.157942,1.0104
4,10,0.647605,0.382288
4,50,8.77401,0.43235
4,100,12.296,0.434729
4,500,16.6352,0.435714
4,1000,16.8551,0.435762
4,2000,16.8712,0.435742
4,3000,16.8046,0.435654
8,5,0.11681,1.0104
8,10,0.46901,0.382288
8,50,7.18341,0.43235
8,100,18.2996,0.434729
8,500,29.3853,0.435713
8,1000,30.8955,0.43576
8,2000,32.047,0.43576
8,3000,32.1072,0.435723
